Date,high,low,close,open,volumek,gas,oil,coal,power,stock,pos,neg,trends
2021/5/12,55.99,53.59,55.85,53.86,7.59,66.76,69.32,85.85,57.24,436.3,0.493,0.042,36
2021/5/13,55.45,53.83,55.04,55.36,4.29,66.92,67.05,85.7,57.37,435.7,0.447,0.358,18
2021/5/14,57.48,55.24,57.23,55.37,5.71,68.71,68.71,85.4,57.1,441.1,0.352,0.248,34
2021/5/17,57.37,56,56.97,57.02,6.41,67.23,69.46,84.5,56.78,441,0.249,0.11,36
2021/5/18,57.14,53.08,53.74,56.45,5.36,63.2,68.71,84.6,56.78,442.2,0.412,0.1,42
2021/5/19,53.6,49.3,50.35,52.92,13.6,57.73,66.66,84,53.21,435.1,0.213,0.068,43
2021/5/20,53.47,50.59,53.41,50.65,8.41,62.49,65.11,84.75,52.66,440.7,0.15,0.115,40
2021/5/21,54.34,51.74,52.43,52.75,5.66,62.74,66.44,85.2,52.9,443.6,0.302,0.405,34
2021/5/24,53.51,51.4,53.41,52.2,2.56,62.39,68.46,85.5,53.36,445.5,0,0,24
2021/5/25,54.27,52.83,53.83,53.81,4.14,66.14,68.65,85.75,53.78,444.9,0.324,0.14,28
2021/5/26,55.23,53.2,54.22,54.13,4.37,66.34,68.87,85.65,54.39,444.6,0.36,0.484,31
2021/5/27,54.14,51.58,52.39,53.59,2.11,62.87,69.46,85.75,54.02,445.9,0.233,0,23
2021/5/28,52.9,50.78,51.58,52.23,3.11,60.68,69.63,85.75,64.91,448.8,0.705,0.449,28
2021/5/31,52.42,51.88,52.24,52.38,5.89,60.68,69.32,93.2,64.91,446,0.237,0.124,25
2021/6/1,53.7,52.32,52.97,52.77,1.19,63.77,70.25,95.8,65.94,449.7,0.185,0,20
2021/6/2,52.55,51.44,51.94,52.52,3.93,62.63,71.35,96.4,65.05,450.8,0.695,0.219,35
2021/6/3,53.15,50.66,50.73,52.85,4.66,62.68,71.31,100.5,64.95,451.2,0.451,0.389,31
2021/6/4,51.95,49.8,50.47,50.61,2.28,62.71,71.89,101.25,64.58,452.3,0.44,0.202,30
2021/6/7,52.5,49.83,51.97,49.83,0.24,64.45,71.49,106,67.23,453.7,0,0.205,32
2021/6/8,53.1,52.07,52.58,52.33,4.05,67.74,72.22,105.75,68.25,454.2,0.161,0.12,35
2021/6/9,54.6,52.81,53.9,53,2.84,69.29,72.22,108.25,68.12,454.5,1.264,0.35,34
2021/6/10,54.33,53.05,54.15,53.62,1.67,70.28,72.52,110,69.23,454.7,0,0.137,25
2021/6/11,54.2,52.8,53.07,53.95,2.34,67.6,72.69,110,68.1,457.6,0.752,0.54,24
2021/6/14,54.36,52.94,53.29,53.43,1.42,70.23,72.86,109,69.57,458.5,0.594,0.283,29
2021/6/15,53.01,51.43,51.76,53.01,5.3,68.87,73.99,108,68.65,458.9,0.378,0,28
2021/6/16,52.7,51.15,51.72,51.9,3.02,68.41,74.39,108,69.39,460.1,0.327,0.517,22
2021/6/17,51.75,50.76,51.28,51.33,1.93,68.88,73.08,107.8,68.85,459.4,0.188,0.241,22
2021/6/18,52.41,51.61,52.26,51.7,1.58,71.83,73.51,107.75,70.8,458.61,0.614,0.265,15
2021/6/21,53.31,51.99,52.78,52.16,3.48,72.54,74.9,107,72.02,453.1,0,0,32
2021/6/22,53.81,53.16,53.76,53.23,4.31,74.95,74.81,107.25,73.23,454.8,0.17,0,25
2021/6/23,55.2,53.88,55.03,53.99,6.79,76.9,75.19,108,73.53,451.4,0.587,0.762,33
2021/6/24,55.73,54.66,55.49,54.85,5.72,78.81,75.56,108.25,74,455.1,0.601,0.064,39
2021/6/25,56.16,55.3,55.48,55.67,8.06,79.88,76.18,108.5,74.26,455.9,1.023,0.451,23
2021/6/28,56.31,55.05,55.9,55.89,6.24,79.6,74.68,113.15,73.99,452.7,0,0.167,29
2021/6/29,56.57,55.61,56.04,55.75,2.37,82.79,74.76,115.05,74.08,454.7,0.959,0.232,31
2021/6/30,57.03,55.62,56.78,55.8,5.06,85.87,75.13,120.75,85.16,451.2,0.351,0.148,33
2021/7/1,59,57.02,58.06,57.09,3.68,89.58,75.84,122.25,88.85,453.6,0.29,0.406,30
2021/7/2,58.77,57.56,57.76,58.41,1.4,88.94,76.17,123.6,88.46,454.7,0.559,0.31,24
2021/7/5,58.69,57.97,58.28,58.02,0.75,93.22,77.16,127.25,88.46,456.6,0.063,0,25
2021/7/6,58.58,52.68,54.44,58.56,3.61,83.54,74.53,123.8,86.6,453.6,0.49,0,34
2021/7/7,55.37,52.9,53.03,53.93,2.74,79.23,73.43,124.65,86.14,457.5,0.763,0.498,38
2021/7/8,53.6,51.32,52.77,53.11,3.48,82.15,74.12,125.5,84.58,449.7,0.11,0.174,30
2021/7/9,54.86,53.3,54.67,53.55,3.59,90.02,75.55,126.8,84.61,455.7,0.908,0.591,26
2021/7/12,54.22,51.95,52.12,54.22,2.07,84.73,75.16,126.65,85.92,459.4,0,0,32
2021/7/13,53.7,51.7,53.26,52.15,2.09,87.09,76.49,131.1,85.16,459,0.536,0.064,35
2021/7/14,55.88,52.05,53.78,52.81,2.44,85.29,74.76,131.75,85.07,458.9,0.616,0.116,53
2021/7/15,53.9,52.3,53.37,52.8,2.6,83.13,73.47,132,84.52,454.4,0.733,0.393,36
2021/7/16,53.98,52.74,53.28,53.59,3.01,85.48,73.59,132.6,85.27,452.7,0.456,0.8,34
2021/7/19,54.35,52.4,52.81,53,3.87,88.38,68.62,133.1,86.52,442.3,0.414,0,46
2021/7/20,52.81,50.87,51.59,52.72,2.65,87.65,69.35,132.1,85.15,444.7,0.242,0.109,51
2021/7/21,52.65,51.3,52.51,51.82,5.73,89.68,72.23,132.6,84.92,452.4,0.346,0.441,32
2021/7/22,52.58,50.46,51.16,52.04,4.19,89.68,73.79,131.9,84.39,454.8,0.145,0.128,31
2021/7/23,51.31,50.37,51.26,50.4,5.45,88.44,74.1,132.3,84.12,460.2,0.575,0.586,30
2021/7/26,53.71,50.96,53.57,51.1,1.44,92.99,74.5,132.1,82.14,459.3,0,0,31
2021/7/27,54.06,53.2,53.28,54,2.39,95.79,74.48,132.6,82.42,457,0.158,0.168,26
2021/7/28,54.53,53.54,54.2,53.54,1.21,100.87,74.74,132.9,82.63,460.1,0.518,0.575,24
2021/7/29,54.69,53.51,54.41,54.42,1.89,104.6,76.05,132.9,81.89,462.2,0.44,0.118,23
2021/7/30,54.24,53.2,53.69,54.15,1.35,103.75,76.33,132.9,81.37,460.6,0.816,0.882,22
2021/8/2,55.56,53.46,54.79,53.47,2.01,107.38,72.89,139.7,84.11,463.1,0,0,22
2021/8/3,55.48,54.42,54.55,54.75,1.2,104.59,72.41,140.05,84.82,464.1,0.749,0.104,30
2021/8/4,55.93,54.55,55.82,54.88,1.19,106.92,70.38,141.1,84.46,466.6,0.794,0.082,30
2021/8/5,56.48,55.05,56.34,55.95,1.86,108.56,71.29,142.15,83.48,468.7,0.833,0.525,20
2021/8/6,57.3,56.54,57.02,56.63,1.83,108.04,70.7,143.9,84.84,468.7,0.905,0,17
2021/8/9,57.7,56.25,56.98,56.9,2.14,107.28,69.04,145.75,83.23,469.6,0,0,22
2021/8/10,57.92,56.96,57.77,57.45,1.75,111.55,70.63,146,83.91,471,0.715,0.489,22
2021/8/11,58.53,56.34,58.14,57.37,2.38,114.46,71.44,147.6,84.36,472.9,0.51,0.182,25
2021/8/12,58.4,56.3,56.63,57.99,1.92,113.77,71.31,150,84.14,474,0.189,0.453,24
2021/8/13,56.73,55.58,55.74,56.73,1.51,110.89,70.59,149.7,84.06,475,0.468,0.367,22
2021/8/16,58.6,55.46,58.52,55.5,0.92,119.06,69.51,151.85,84.5,472.3,0.067,0.073,26
2021/8/17,58.58,57.37,57.56,58.28,3.41,116.65,69.03,149.9,84.04,472.8,0.132,0.126,27
2021/8/18,58.37,55.73,57.45,57.42,3.12,111.61,68.23,149.95,83.96,473.6,0.39,0.298,22
2021/8/19,57.3,52.86,53.84,57.3,10.11,99.74,66.45,145.9,81.69,466.2,0,0.163,19
2021/8/20,55.2,53.82,54.72,54.03,4.13,104.76,65.18,144.5,81.55,468,0.257,0.192,21
2021/8/23,56.55,55.26,55.67,55.53,5.65,103.21,68.75,148.35,80.57,471.7,0,0,28
2021/8/24,57.18,55.79,56.97,56.08,2.99,111.3,71.05,148.5,80.99,471.1,0.172,0.083,17
2021/8/25,57.42,56.19,56.87,56.98,2.41,113.33,72.25,148.9,81.71,471.1,0.244,0,26
2021/8/26,57.86,55.97,57.19,56.65,1.32,115.1,71.07,149,81.3,469.9,0.226,0.118,24
2021/8/27,60.25,57.84,59.32,57.84,7.8,120.97,72.7,148.95,81.75,472,0.061,0.296,26
2021/8/30,61.29,60.15,61.08,60.31,4.29,120.97,73.41,149.05,82.7,472.5,0,0,25
2021/8/31,61.25,60.26,61.07,60.56,3.09,127.71,72.99,153.75,99.47,469.7,0.298,0.061,20
2021/9/1,62.18,60,60.42,61.14,7.52,127.75,71.59,156.25,102.05,472.6,0.387,0.073,25
2021/9/2,62.03,59.89,61.83,60.62,1.92,132,73.03,162.2,107.72,474.6,0.694,0.179,35
2021/9/3,62.75,61.44,61.63,61.69,3.37,130.45,72.61,165.15,109.17,471.8,0.507,0.062,30
2021/9/6,63.47,62.17,62.61,62.48,2.32,134.11,72.22,168,109.17,474.9,0.092,0.039,34
2021/9/7,63.16,61.96,62.28,63.03,4.4,136.44,71.69,168.2,115.6,472.9,0.48,0.163,37
2021/9/8,63.61,62.27,62.74,62.71,4.77,139.66,72.6,169,117.4,467.9,0.577,0.313,44
2021/9/9,63.36,62.17,63.04,62.55,3.45,142.15,71.45,169.7,119.73,467.4,0.324,0.354,22
2021/9/10,63.17,60.95,61.22,63.13,2.94,145.52,72.92,170.85,123.34,466.1,0.285,0.071,26
2021/9/13,62.99,61.2,61.37,61.23,5.21,153.26,73.51,171.7,130.29,467.7,0.136,0.102,35
2021/9/14,62.25,59.6,60.16,61.8,7.05,164.95,73.6,171,135.15,467.6,1.145,0.35,49
2021/9/15,61.71,59.1,60.18,60.51,5.1,177.3,75.46,169.5,143.05,464.5,0.227,0.091,33
2021/9/16,60.98,58.64,59.63,59.61,5.51,158.38,75.67,166.9,142.65,466.1,0.15,0,40
2021/9/17,60.48,59.44,59.82,59.93,6.71,162.8,75.34,168.6,129.21,465.83,0.885,0.526,26
2021/9/20,61.36,58.88,61.02,59.59,8.92,189.65,73.92,171.05,131.9,451.5,0.054,0,15
2021/9/21,61.5,60.21,60.5,60.95,2.43,186.1,74.36,171.4,130.95,455.9,0.921,0.251,28
2021/9/22,61.05,60.2,60.94,60.64,5.54,181.11,76.19,172,129.46,460.9,0.067,0,39
2021/9/23,61.47,59.5,60.89,60.96,6.07,174.49,77.25,172.85,130.16,465.3,0.878,0.616,28
2021/9/24,64.5,60.29,63.29,60.85,4.84,175.95,78.09,172.5,129.2,461.1,0.665,0.396,24
2021/9/27,65.33,64,64.72,64.25,6.05,190.38,79.53,201.75,128.15,460.5,0.497,0.107,28
2021/9/28,66,62.07,62.29,65.75,8.3,195.38,79.09,202.3,128.09,450.7,0.068,0.106,36
2021/9/29,63.5,61.74,63.28,63.46,7.27,215.1,78.64,208.5,128.37,453,0.647,0.363,35
2021/9/30,63.27,60.73,62.16,63.27,5.41,251.18,78.52,218.65,160.46,453.8,0.129,0.201,32
2021/10/1,64.15,61.53,62.45,62.25,2.89,241.26,79.28,233.05,175.89,450.4,0.672,0.303,24
2021/10/4,64.9,62.71,63.82,63.27,3.33,245.87,81.26,247.75,183.65,449.1,0.405,0,22
2021/10/5,65.8,64.2,65.16,64.25,9.91,293.91,82.56,274.5,206.49,454.2,0.42,0.476,40
2021/10/6,65.16,59.35,59.58,65.16,12.72,273.45,81.08,237.1,203.22,449.2,0.708,0.239,37
2021/10/7,61.11,58.2,60.81,60.18,9.85,245.51,81.95,232.65,176.22,456.9,0.228,0.13,29
2021/10/8,61.15,58.3,58.76,60.49,6.56,222.21,82.39,230,162.12,455.8,0.915,0.575,38
2021/10/11,60.66,58.49,59.58,58.67,2.33,216.58,83.65,241.5,148.08,455.3,0,0,36
2021/10/12,59.91,58.91,59.34,59.52,3,217.12,83.42,243.15,146.6,455.4,0.306,0.146,39
2021/10/13,60.54,58.65,59.45,59.42,5.22,235.75,83.18,244.95,153.23,459.1,0.301,0.293,36
2021/10/14,62.08,59.79,61.79,59.79,10.06,257.61,84,243.65,149.53,464.6,0.426,0,36
2021/10/15,62.19,58.62,59.79,62.16,4.22,234.36,84.86,240.05,153.07,467.8,1.033,0.286,26
2021/10/18,60,57.64,58.92,58.93,4.49,237.32,84.33,238.65,139.6,465.6,0,0,35
2021/10/19,58.69,54.45,54.92,58.26,7.93,225.91,85.08,234.5,138.54,467.4,0.15,0.265,39
2021/10/20,58.48,55.48,58.14,55.48,6.45,233.81,85.82,232.6,143.65,468.7,0.297,0.314,43
2021/10/21,58.99,56.9,58.37,57.8,12.64,221.4,84.61,228.5,145.85,468.2,0.57,0.417,28
