date,compound,pos,neu,neg,trends
2022/3/11,1.9005,1.112,6.4,0.488,35
2022/3/14,-0.7332,0.115,0.622,0.263,36
2022/3/15,0.8818,0.796,3.739,0.465,36
2022/3/16,-0.0044,0.719,3.524,0.757,31
2022/3/17,1.8252,0.585,3.356,0.059,39
2022/3/18,0.294,0.562,3.938,0.501,36
2022/3/21,0,0,0,0,33
2022/3/22,1.063,0.586,4.065,0.352,32
2022/3/23,-0.1452,0.846,5.274,0.879,26
2022/3/24,0.9298,0.389,2.404,0.208,32
2022/3/25,0.7503,1.29,5.657,1.053,22
2022/3/28,0.8126,0.194,0.806,0,35
2022/3/29,0.6963,0.293,1.624,0.083,32
2022/3/30,1.9275,0.66,2.34,0,28
2022/3/31,0.3788,0.426,2.192,0.382,41
2022/4/1,1.6637,1.201,4.999,0.802,24
2022/4/4,-0.9127,0.042,0.657,0.301,34
2022/4/5,0.5917,0.54,5.049,0.411,36
2022/4/6,-0.261,0.15,1.499,0.351,46
2022/4/7,0.6723,0.602,2.006,0.393,30
2022/4/8,2.6467,1.262,6.121,0.618,35
2022/4/11,-0.0258,0.065,0.844,0.092,27
2022/4/12,0.4676,0.577,2.083,0.34,28
2022/4/13,0.9955,0.479,1.317,0.204,19
2022/4/14,1.3559,0.681,2.049,0.271,28
2022/4/15,-0.8749,0.208,1.443,0.347,18
2022/4/18,0,0,0,0,17
2022/4/19,0,0,0,0,30
2022/4/20,1.8252,0.403,2.567,0.03,42
2022/4/21,0.7946,0.271,2.619,0.11,37
2022/4/22,0.4575,0.529,3.889,0.584,23
2022/4/25,0.7845,0.23,0.733,0.037,40
2022/4/26,1.013,0.708,6.931,0.362,31
2022/4/27,-0.0474,0.216,1.567,0.218,29
2022/4/28,-1.6836,0.377,2.959,0.665,30
2022/4/29,0.4865,1.157,6.016,0.827,25
2022/5/2,0,0,0,0,31
2022/5/3,0.6047,0.339,1.513,0.148,33
2022/5/4,0.9365,0.496,4.307,0.197,30
2022/5/5,0.4824,0.638,3.91,0.453,33
2022/5/6,3.6722,1.348,6.106,0.546,22
2022/5/9,0,0,0,0,31
2022/5/10,-0.5523,0.473,4.943,0.583,25
2022/5/11,-1.0915,0.169,2.46,0.371,40
2022/5/12,-1.2996,0.478,4.815,0.707,32
2022/5/13,3.8509,1.4,7.12,0.48,25
2022/5/16,0,0,0,0,29
2022/5/17,2.4451,0.609,3.289,0.101,38
2022/5/18,1.4404,0.359,4.641,0,38
2022/5/19,-0.8735,0.512,4.806,0.681,35
2022/5/20,-1.2219,0.522,3.828,0.65,45
2022/5/23,0,0,0,0,44
2022/5/24,-2.0709,0.33,3.769,0.904,44
2022/5/25,-0.1829,0.28,3.359,0.361,44
2022/5/26,1.4027,0.439,2.419,0.141,48
2022/5/27,0.7461,0.711,2.773,0.515,37
2022/5/30,0,0,0,0,46
2022/5/31,-0.5721,0.238,2.39,0.372,62
2022/6/1,0.4516,0.394,3.42,0.186,43
